iter	Passed	Remaining
0	2	277
1	5	255
2	7	234
3	9	238
4	11	220
5	12	203
6	14	191
7	15	181
8	17	174
9	18	166
10	19	158
11	20	152
12	22	147
13	23	142
14	24	137
15	25	132
16	26	127
17	27	123
18	28	120
19	29	116
20	30	112
21	30	109
22	31	106
23	32	103
24	33	100
25	34	97
26	35	95
27	36	92
28	36	90
29	37	88
30	38	85
31	39	83
32	40	81
33	41	79
34	42	78
35	42	76
36	43	74
37	44	72
38	45	71
39	46	69
40	47	67
41	47	65
42	48	64
43	49	62
44	50	61
45	50	59
46	51	58
47	52	57
48	53	55
49	54	54
50	55	53
51	56	51
52	56	50
53	57	49
54	58	47
55	59	46
56	60	45
57	61	44
58	62	43
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	80	21
79	80	20
80	81	19
81	82	18
82	83	17
83	84	16
84	85	15
85	86	14
86	87	13
87	87	11
88	88	10
89	89	9
90	90	8
91	91	7
92	92	6
93	93	5
94	93	4
95	94	3
96	95	2
97	96	1
98	97	0
99	98	0
